Search Title,Job Title,Company,Location,Salary Min,Salary Max,Category,Created,URL
Import/Export Specialist,Traffic Analyst - Latin America Ocean Shipping,Oocl Usa Inc,"Riverton, Salt Lake County",78723.2,78723.2,Logistics & Warehouse Jobs,2025-07-29T17:50:24Z,https://www.adzuna.com/details/5327541393?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Air Operations,Ottimo Resources,"Miami, Miami-Dade County",45760.0,52000.0,Logistics & Warehouse Jobs,2024-08-18T13:59:53Z,https://www.adzuna.com/details/4830663717?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Air Import/Export Coordinator,Ottimo Resources,"Torrance, Los Angeles County",47840.0,58240.0,Logistics & Warehouse Jobs,2024-09-16T07:17:03Z,https://www.adzuna.com/details/4865352105?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Operations Planner,"Sakata Seed America, INC.","Woodland, Yolo County",51836.77,51836.77,Manufacturing Jobs,2025-09-18T23:36:30Z,https://www.adzuna.com/details/5406332933?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Operations Planner,Sakata Seed America,"Woodland, Yolo County",70000.0,80000.0,Manufacturing Jobs,2025-09-08T17:27:17Z,https://www.adzuna.com/details/5389831049?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Export Specialist,Coda Staffing,"Moonachie, Bergen County",47191.3,47191.3,Logistics & Warehouse Jobs,2025-09-07T11:54:16Z,https://www.adzuna.com/details/5388339422?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Coordinator,CBRE,"Ridgefield, Fairfield County",77240.76,77240.76,Logistics & Warehouse Jobs,2025-09-12T18:04:01Z,https://www.adzuna.com/land/ad/5396738802?se=CpBN6q6W8BGOXOqOgVlkcw&utm_medium=api&utm_source=866ee2f8&v=CA7DD97B89FEF7619DD99EDF446D22D43CF63197
Import/Export Specialist,Trade Compliance Specialist (Hybrid),Integra LifeSciences,"Princeton, Mercer County",26840.83,26840.83,Logistics & Warehouse Jobs,2025-08-21T17:36:08Z,https://www.adzuna.com/land/ad/5362781197?se=CpBN6q6W8BGOXOqOgVlkcw&utm_medium=api&utm_source=866ee2f8&v=3B2F51732B859FEF844B6DB52F785B8D02D78B55
Import/Export Specialist,DoD Skillbridge Internship,ProteQ,"Oak Hill, Fairfax County",99590.06,99590.06,IT Jobs,2024-09-05T10:26:49Z,https://www.adzuna.com/details/4853091826?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Customer Service Representative – Import/Export Logistics,Hensley Ind. Inc.,"North Branch, Dallas",54685.26,54685.26,Logistics & Warehouse Jobs,2025-08-29T19:46:17Z,https://www.adzuna.com/details/5374585252?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,"Director, Logistics & Warehouse",PROCEPT BioRobotics,"San Jose, Santa Clara County",129794.95,129794.95,Logistics & Warehouse Jobs,2025-09-02T04:35:42Z,https://www.adzuna.com/details/5379351481?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,"Director, Logistics & Warehouse",PROCEPT BioRobotics,"San Jose, Santa Clara County",198000.0,268000.0,Logistics & Warehouse Jobs,2025-07-05T03:22:55Z,https://www.adzuna.com/details/5286923757?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,"Senior Manager, Logistics and Trade Compliance",Lattice Semiconductor Corp.,US,121750.85,121750.85,Logistics & Warehouse Jobs,2025-09-18T15:17:25Z,https://www.adzuna.com/details/5405100730?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Trade Compliance Specialist (Hybrid),Integra LifeSciences,"Princeton, Miami-Dade County",27706.43,27706.43,Healthcare & Nursing Jobs,2025-08-22T18:48:38Z,https://www.adzuna.com/details/5364655276?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Trade Compliance Specialist (Hybrid),Integra LifeSciences,"Princeton, Miami-Dade County",28643.07,28643.07,Healthcare & Nursing Jobs,2025-08-22T19:35:38Z,https://www.adzuna.com/details/5364716947?utm_medium=api&utm_source=866ee2f8
